gene_name	gene_biotype	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
Ldha	protein_coding	305	1192	53	1860	708	1575
LOC128926175	protein_coding	4299	693	921	3501	1505	3820
Tpr	protein_coding	724	1485	847	699	392	674
LOC131340399	protein_coding	270	3	172	675	402	153
Gm12679	protein_coding	760	571	355	1495	996	1444
Fap	protein_coding	1190	1462	69	1024	647	1520
Or5p55	protein_coding	1329	369	252	204	643	575
LOC131337743	protein_coding	738	227	2257	773	12	722
LOC131340166	protein_coding	865	636	383	631	1061	1069
Galont	protein_coding	1399	1436	700	1118	684	649
4933417D19Rik	protein_coding	1211	895	312	1125	365	2218
Gm10856	lncRNA	502	418	771	383	431	510
Gm12716	protein_coding	5854	4652	4610	3128	4940	2487
LOC110120420	lncRNA	2832	574	786	24	901	1641
LOC131388449	protein_coding	1386	888	1404	773	2168	999
LOC128924326	lncRNA	1405	212	410	439	81	154
4930556G22Rik	protein_coding	237	19	1147	915	350	723
Mir466d	pseudogene	898	56	968	2126	1455	393
Gm23819	protein_coding	202	215	146	113	148	176
E230006M18Rik	pseudogene	540	222	141	70	124	20
LOC128928003	protein_coding	1603	1167	372	1701	1082	959
Gm54272	lncRNA	513	776	61	862	1634	2024
A930028N01Rik	protein_coding	809	811	757	1324	1099	677
n-TKctt21	protein_coding	1023	621	1130	659	773	958
T(4;7)1Rl	protein_coding	2455	3590	1363	468	861	2522
Vmn1r184	protein_coding	2324	3	330	543	334	703
D2Mit94	pseudogene	64	182	102	57	179	147
LOC132411957	protein_coding	470	511	460	448	119	249
Spag6	protein_coding	373	259	1224	627	468	87
LOC132441889	protein_coding	513	992	790	377	1206	785
Mcc	protein_coding	909	1441	2034	1158	1278	1117
Hcif2	protein_coding	1273	1168	1877	1839	1174	1342
Gm6445	protein_coding	464	279	564	997	558	587
Or4x12	protein_coding	1585	563	1824	1722	887	1984
LOC131296997	protein_coding	2352	3514	621	313	634	1420
LOC131374802	protein_coding	435	1034	1207	393	663	349
E130308A19Rik	lncRNA	1281	2241	761	1033	1193	1076
Spink4	protein_coding	581	699	1302	622	378	474
Gm52195	protein_coding	1527	1851	63	2484	1797	1951
Armcx2	lncRNA	480	806	491	820	620	511
Gm46356	pseudogene	603	359	112	638	610	372
Lfp2	pseudogene	2509	1874	2522	4228	2848	2085
Tnfrsf12a	protein_coding	99	24	164	107	313	44
4930431C11Rik	pseudogene	1098	520	1121	580	1317	933
Mpmv41	protein_coding	2987	1469	1490	928	2848	348
Evi15	protein_coding	431	563	492	789	291	396
LOC131339174	protein_coding	3214	2691	2807	1617	1394	1257
LOC131376262	protein_coding	442	1720	157	191	404	235
Ptpn7	protein_coding	748	8779	3246	1347	54	2034
LOC109279846	protein_coding	708	340	584	959	553	705
Gm41021	lncRNA	283	296	232	158	212	196
D1Sta8	protein_coding	421	223	269	2935	595	2034
Gm53849	protein_coding	1165	248	795	845	544	170
Gm9493	protein_coding	55	183	86	47	99	33
Gm20788	protein_coding	342	278	592	1556	220	636
Gm28298	protein_coding	3696	1291	2046	1137	713	1369
LOC131392072	protein_coding	3745	1818	5878	1278	1873	1175
Lamp2	protein_coding	262	143	744	719	430	360
Slc30a5	protein_coding	354	474	546	705	886	1159
Chaer1	protein_coding	2018	1251	1349	3384	3431	3998
Nfix	protein_coding	851	901	319	472	161	495
LOC131376810	protein_coding	971	217	66	1509	133	63
Igkv3-2	pseudogene	294	296	407	916	536	476
LOC131378240	protein_coding	545	308	277	497	509	840
Traj26	protein_coding	212	113	269	400	116	417
Hrq6	protein_coding	659	1736	649	316	258	492
LOC131389991	protein_coding	115	143	165	137	147	297
LOC131375885	lncRNA	990	992	455	957	148	376
Gm53383	protein_coding	5669	2343	2514	938	1204	1237
LOC131390657	protein_coding	471	203	251	389	673	115
LOC132440527	protein_coding	497	409	500	329	10	649
LOC131391082	protein_coding	1323	36	33	2414	2574	316
Plekhg6	pseudogene	207	2017	761	12	0	2347
Gm25812	pseudogene	544	891	1137	386	1468	498
LOC131390487	protein_coding	443	185	1291	568	324	560
Uba1	protein_coding	1602	846	25	1184	624	2
Ighv1-48	protein_coding	104	165	95	319	358	407
Gm19972	lncRNA	169	604	354	297	790	388
Gm36345	protein_coding	1008	641	783	597	456	115
LOC128927596	protein_coding	373	739	1857	345	3547	609
LOC131375798	protein_coding	2395	241	67	679	717	857
Gm31939	lncRNA	202	537	146	235	352	991
LOC131371944	protein_coding	1272	556	7627	1539	2535	3435
Gm23275	protein_coding	1068	3304	1607	768	1015	702
Tafa4	protein_coding	2721	6464	1963	4339	3279	2354
Gm12870	protein_coding	1308	749	1030	2542	853	2046
LOC132441983	protein_coding	606	328	1038	119	578	784
LOC131295330	lncRNA	1054	1641	2010	327	1648	1403
LOC131391209	protein_coding	1032	1116	1085	1036	959	94
LOC132409118	lncRNA	1837	1021	1102	2202	605	1562
Gm5781	protein_coding	3499	1849	3320	1552	37	3724
504N12R	lncRNA	138	172	41	38	199	47
D6Mit120	pseudogene	742	170	730	1214	557	449
Mettl25	protein_coding	1630	1063	725	391	248	218
Gm2560	protein_coding	51	66	25	215	306	42
LOC131373675	protein_coding	1709	968	713	305	596	1405
Gm39444	protein_coding	559	238	518	353	394	783
LOC131379558	pseudogene	889	2169	88	1539	1521	629
Gm18292	pseudogene	422	531	1029	994	1075	595
LOC132441895	protein_coding	531	1099	603	683	454	723
Clec2m	lncRNA	1152	373	721	2319	1785	637
Gm40823	protein_coding	387	485	524	541	362	639
Gm25681	protein_coding	878	437	465	368	177	470
Gm6139	protein_coding	177	160	121	132	143	207
Chrna1	protein_coding	1061	3045	238	3928	379	1417
Gm16976	protein_coding	482	235	254	678	150	274
A930036I15Rik	protein_coding	1761	1700	2451	2396	1980	1380
Gm5318	protein_coding	651	404	594	240	508	226
C79452	pseudogene	1207	913	885	562	1268	1330
Gm40290	protein_coding	272	566	225	110	1382	713
Gm30470	protein_coding	58	164	338	394	234	851
Gm24780	lncRNA	1228	1039	656	2026	619	1023
C230013L11Rik	protein_coding	888	183	1591	1877	1963	1958
LOC131375390	protein_coding	605	106	2019	1	620	50
Gm32912	protein_coding	886	495	246	918	1342	143
4930425K24Rik	protein_coding	745	181	867	483	448	360
LOC132410625	protein_coding	11897	578	3743	6560	6398	2448
LOC131379027	protein_coding	2053	2256	437	605	2819	869
Gm54334	protein_coding	26	46	74	49	2	60
LOC132408682	pseudogene	425	901	805	836	701	1092
5430425K12Rik	protein_coding	457	926	322	12	543	287
tcl4	lncRNA	1373	1221	1296	984	1291	1091
Gm53396	protein_coding	1021	435	706	855	792	976
Plcxd3	protein_coding	830	361	1072	438	374	20
Iapls3-69	protein_coding	466	213	365	426	106	558
LOC131372967	protein_coding	1475	897	910	864	1906	547
5730433N10Rik	protein_coding	554	1192	377	1210	591	1575
Bomd5	lncRNA	534	72	697	264	238	334
Gm23148	protein_coding	268	1672	1597	2032	590	247
Ttc24	protein_coding	679	1337	544	231	632	634
LOC132412913	lncRNA	1280	1266	589	722	1042	4898
Ttc39c	protein_coding	1395	3153	487	278	814	331
LOC132408647	protein_coding	386	386	271	152	416	503
Obox5	protein_coding	1661	946	1213	675	1082	1580
LOC132441700	protein_coding	3760	1235	2976	3419	2847	2940
Ttyh1	protein_coding	492	1704	1914	744	407	536
Gm9214	lncRNA	0	97	1250	137	1402	6
Gm9239	protein_coding	914	170	616	346	860	805
LOC131378951	lncRNA	403	332	474	226	513	272
LOC131371318	protein_coding	280	402	1206	32	190	108
LOC132443077	protein_coding	243	1186	4	1442	2797	38
Gm12035	protein_coding	319	465	251	228	148	492
Gm31462	protein_coding	62	169	98	126	135	67
Ndufs4	lncRNA	3251	1494	131	294	1783	3705
Gm8595	protein_coding	1264	342	490	867	250	1584
Nr4a2	lncRNA	1698	683	466	2293	542	529
LOC132442925	protein_coding	10	2	66	33	138	54
Loh3	protein_coding	287	961	1501	1075	705	467
LOC131379496	lncRNA	1609	79	1157	955	793	171
LOC131295130	protein_coding	753	3126	623	1158	519	1135
LOC131377593	pseudogene	1582	1901	1174	1740	1538	916
LOC131339906	lncRNA	2446	1108	1281	1203	1106	1910
LOC128926969	protein_coding	738	2884	727	315	945	4731
Gm31019	protein_coding	675	334	901	649	2003	1873
D5Mit314	pseudogene	481	369	319	414	414	1037
LOC132408654	protein_coding	462	149	418	378	368	252
LOC131297691	protein_coding	183	44	136	105	48	501
Gm31437	protein_coding	1084	1154	472	746	912	810
LOC132442190	lncRNA	475	242	578	930	1166	512
Gm41527	protein_coding	422	170	625	243	261	411
LOC128927708	protein_coding	524	560	924	926	951	293
Praf2	protein_coding	665	2912	647	475	2441	1289
LOC131297557	protein_coding	1074	2398	977	1180	5375	3285
LOC131386125	protein_coding	203	1119	344	994	568	2432
LOC132410689	protein_coding	897	251	634	247	297	730
LOC132443489	protein_coding	643	1198	329	503	204	889
Slc52a2	protein_coding	1184	673	710	928	729	627
Ckb-ps2	lncRNA	586	442	577	585	442	395
T(16;17)7Gso	lncRNA	696	185	845	2719	1148	400
LOC131391448	protein_coding	639	867	880	1073	612	780
Gm10344	protein_coding	338	565	440	188	697	342
Gm45756	protein_coding	143	557	342	798	283	422
LOC132408570	pseudogene	199	916	504	49	115	898
Dfq1	protein_coding	880	808	1679	389	717	1247
Ncilt	lncRNA	92	38	56	33	47	98
Hmgxb3	protein_coding	454	2802	20	1829	1101	2842
Gm24919	lncRNA	17	146	80	90	717	848
D2Mit333	protein_coding	1000	101	326	874	835	417
Gm31152	protein_coding	901	1397	570	364	677	383
LOC131340384	protein_coding	3013	4401	3654	646	2387	1467
D19Mit96	protein_coding	187	706	1655	447	570	1479
Gm18436	protein_coding	161	971	513	16	755	225
LOC131378145	protein_coding	2711	369	4097	1237	1315	945
D15Mit135	protein_coding	909	1327	2230	6112	806	3791
LOC128927296	protein_coding	828	856	845	434	1375	431
LOC131341117	protein_coding	850	1426	790	298	501	1709
LOC132445366	protein_coding	735	1163	2349	1032	1146	986
Ntrk1	protein_coding	189	348	239	868	735	92
D16Mit34	protein_coding	1	223	214	131	6	37
LOC131377178	protein_coding	94	40	53	156	171	65
Gm35592	pseudogene	252	560	96	86	95	211
Gm33284	protein_coding	111	36	59	31	203	122
Fahd2a	protein_coding	71	49	129	148	50	252
Gm39260	protein_coding	711	811	129	1616	130	583
Mir29a	lncRNA	300	1282	766	813	243	893
LOC131389327	protein_coding	1365	906	1077	453	1626	2120
LOC131388326	protein_coding	407	165	49	210	402	242
Mir3064	protein_coding	3342	2097	868	2643	1827	947
Grin2c	pseudogene	738	3867	223	5302	3107	293
Tmem126b	protein_coding	588	59	1217	401	2312	589
Gm46432	protein_coding	361	1813	2086	723	1947	527
LOC131372746	protein_coding	356	450	1756	1310	1324	206
LOC131297767	pseudogene	617	558	239	45	132	389
Cistr	protein_coding	437	914	822	552	853	794
LOC132412332	protein_coding	967	1800	2732	937	902	747
Mxi1	protein_coding	59	43	243	129	101	94
Mbis3	protein_coding	943	1068	657	2007	1584	484
Ffar4	protein_coding	1285	1119	1090	1572	927	1666
2410003L11Rik	protein_coding	1249	697	708	591	1115	1489
Gm7437	lncRNA	193	2140	374	485	1912	692
Fdx2	protein_coding	558	1234	267	264	449	948
Gm26419	protein_coding	561	991	625	481	350	673
Snord73b	pseudogene	309	478	443	497	285	536
LOC131295589	protein_coding	249	1259	704	1003	698	1266
Gm46372	protein_coding	1081	3014	2792	1484	2437	1925
LOC131389832	protein_coding	762	204	266	456	311	313
D15Bwg0340e	protein_coding	1047	634	670	930	1277	544
Gm11225	protein_coding	192	0	189	9807	5	274
Del(4)17H	protein_coding	3596	3104	6155	1202	3255	1334
Pmv10	lncRNA	199	360	223	229	156	385
LOC131385612	protein_coding	366	805	397	486	185	1186
Pbwg9	protein_coding	760	333	324	419	451	267
E030007A22Rik	protein_coding	1296	2351	129	67	200	22
LOC131372089	protein_coding	840	2695	2060	469	507	263
LOC132443570	protein_coding	2277	1862	1137	3250	982	1589
LOC131296378	protein_coding	835	564	1226	1221	1508	672
LOC132412667	lncRNA	1137	282	380	527	725	392
LOC131373421	protein_coding	723	603	848	803	935	1080
LOC238440	protein_coding	2499	659	958	764	248	1736
Cabp5	protein_coding	1521	6925	1065	4357	2678	1903
LOC128924726	lncRNA	509	55	61	1380	1720	709
Armcx4	protein_coding	126	639	681	1385	875	1495
Rsf1os2	pseudogene	2938	6104	1370	1169	1104	2305
Gm40263	protein_coding	1367	2009	3920	1299	1577	4070
Adam34l	lncRNA	417	741	462	200	322	435
Gm29554	protein_coding	1258	474	293	1098	3574	210
D12Sut2e	lncRNA	283	85	193	217	365	371
D2Mit41	protein_coding	1412	2149	1483	2232	937	1550
LOC432596	protein_coding	921	1062	1404	1333	981	509
A930014E10Rik	protein_coding	57	1217	963	1021	1059	1329
LOC131339319	lncRNA	733	314	597	953	531	989
Hcx	pseudogene	990	977	1458	1433	3916	3255
AW743297	protein_coding	1816	1119	336	310	255	716
LOC131375640	pseudogene	1143	815	400	171	639	726
LOC131338211	protein_coding	1186	3454	385	2469	1819	1125
Igkv3-8	protein_coding	802	689	1261	434	1048	497
LOC132408323	protein_coding	72	0	0	0	3	0
LOC131340594	protein_coding	1632	482	191	292	294	310
Gm13599	protein_coding	1285	412	815	786	1076	660
LOC131295718	protein_coding	3001	933	853	1571	2252	1617
LOC131373039	pseudogene	388	989	738	1198	484	601
Or7c19	protein_coding	112	85	544	253	108	311
Gpsm3	protein_coding	1447	1477	830	2125	933	1330
jt	pseudogene	609	2321	759	1320	221	237
1700008N11Rik	protein_coding	1665	1508	765	1564	156	787
LOC131388455	lncRNA	428	835	533	91	501	1130
4930552F14Rik	protein_coding	185	243	98	117	156	98
Gm35106	protein_coding	255	483	1820	4016	530	2023
LOC131376364	lncRNA	179	54	69	455	227	46
LOC131297878	lncRNA	274	617	505	514	897	24
Gm53796	protein_coding	1433	2342	1561	1756	1628	3114
C77648	pseudogene	702	567	683	671	416	1112
Gm35677	protein_coding	2194	1246	2786	1683	1205	1717
Gm29280	protein_coding	601	1208	1060	896	885	648
LOC131388549	lncRNA	864	1008	934	1326	1154	655
Gm5385	pseudogene	5839	4915	3578	3870	1430	4290
Nsila7	protein_coding	663	725	250	1193	328	690
Gm7473	protein_coding	437	341	305	260	485	485
Gm33619	protein_coding	819	1650	1665	964	1704	1820
LOC131336991	protein_coding	645	448	1398	244	1255	991
Gm52265	protein_coding	1569	4976	2101	931	2300	1783
Cpb1	lncRNA	297	214	273	296	382	678
LOC132412364	pseudogene	478	578	332	434	537	451
Gm24235	lncRNA	3612	1474	1203	1365	1918	1141
Gm7463	protein_coding	836	1670	299	182	1597	757
LOC131375565	lncRNA	542	579	1106	838	963	673
Gm25157	protein_coding	250	85	1208	38	121	199
LOC132443258	protein_coding	975	1538	1509	1225	3017	1845
Rnf103	pseudogene	763	1752	823	883	1018	639
Gm19102	protein_coding	1275	1057	614	1022	555	673
Klra19	protein_coding	2547	873	2223	3107	2304	2128
Tomm40	lncRNA	840	603	52	452	28	33
C330013J06Rik	protein_coding	34	219	249	45	424	140
H3f3c	pseudogene	392	180	757	551	850	937
Rnf126	lncRNA	450	354	435	812	1576	698
A730010A20Rik	lncRNA	2084	87	5719	34	34	4341
Gm46962	protein_coding	27	4	12	0	368	39
LOC131385887	protein_coding	2128	431	1199	784	2595	1718
645M6T7	pseudogene	542	360	646	354	385	239
Gm30284	protein_coding	327	293	205	165	145	94
C81543	protein_coding	111	108	164	107	85	110
LOC128924653	protein_coding	1681	1066	1990	730	1146	1050
Gct7	protein_coding	974	822	475	764	96	1569
LOC131374684	protein_coding	729	209	711	10	29	92
Mprf	pseudogene	788	740	1609	1165	883	964
Srsf12	protein_coding	275	331	744	381	328	83
LOC131379821	protein_coding	470	458	777	1077	231	2109
Gm25257	protein_coding	618	783	684	371	1518	828
Gm38625	protein_coding	248	567	817	714	665	512
Gm46088	protein_coding	673	483	1519	766	1770	1
LOC131392671	protein_coding	309	1469	643	184	284	602
Gm17149	pseudogene	3996	2947	1003	331	178	154
Gm12019	protein_coding	1286	412	658	147	529	237
Gm52412	pseudogene	889	630	537	153	147	151
LOC132408734	protein_coding	345	432	1380	1653	1199	353
LOC131377127	protein_coding	84	48	36	127	72	105
LOC131379406	protein_coding	191	448	872	272	83	146
Gm29443	protein_coding	226	188	65	284	156	135
LOC131374369	protein_coding	420	161	438	1362	1157	1461
Gm17898	protein_coding	828	1363	574	823	738	835
Gm33401	protein_coding	1594	852	304	236	220	407
Mir344-2	protein_coding	4688	2021	2878	1856	3248	4010
1700047K16Rik	protein_coding	1500	1110	623	1320	585	689
Gm11110	protein_coding	526	623	399	971	617	433
Rn	protein_coding	1414	946	503	662	933	573
LOC131378948	protein_coding	1784	264	1519	1083	2525	1120
LOC132409893	lncRNA	217	225	123	285	333	345
LOC131388788	pseudogene	47	16	3	17	8	57
D1Wsu158e	protein_coding	991	1290	314	166	560	1345
Vmn2r-ps41	protein_coding	158	919	2808	764	3215	241
LOC131376913	protein_coding	914	1291	1154	2723	1078	2126
1700052M18Rik	protein_coding	727	226	354	273	442	389
Gm4936	protein_coding	312	118	444	688	629	209
Gm6378	protein_coding	358	106	249	705	372	427
Kcnf1	protein_coding	884	313	119	355	683	882
Atxn1l	protein_coding	303	378	327	559	614	300
9330020H09Rik	pseudogene	645	385	739	418	515	360
LOC131377689	lncRNA	32	2951	189	425	269	997
LOC131380495	protein_coding	2495	1669	1689	1179	1830	2907
Gm11869	protein_coding	5284	2323	1088	2350	1002	3015
Gm40988	protein_coding	436	235	270	268	540	112
LOC132412391	protein_coding	843	854	657	612	672	355
Lama3	protein_coding	284	361	732	508	381	209
LOC131372622	protein_coding	1788	1427	1149	909	1042	593
D230021J17Rik	protein_coding	2805	941	2847	773	3657	425
LOC131375983	protein_coding	1278	2799	368	1512	303	854
Dhrs3	lncRNA	1082	1319	3283	3109	1592	1937
Gm43471	protein_coding	1368	5230	1154	1103	824	1203
Dusp13a	protein_coding	599	3210	74	411	1206	1465
LOC118568527	protein_coding	2280	1444	702	598	991	1204
Ppp1r12c	protein_coding	452	1148	855	1311	923	467
Gm3963	protein_coding	211	203	121	75	285	156
Gm19288	lncRNA	1886	1066	401	177	488	520
LOC131389288	pseudogene	429	4032	5	3120	1273	660
Brnvl1	lncRNA	527	196	0	247	339	1569
LOC132442652	protein_coding	299	672	525	808	592	321
Gm35797	protein_coding	378	603	481	545	181	229
Gm46960	protein_coding	655	1261	409	639	1046	886
Gm10431	protein_coding	411	169	531	666	219	147
Mir5131	protein_coding	1715	404	1444	1245	1667	1230
Gm39698	protein_coding	1497	910	297	2000	1752	1846
Gm9860	protein_coding	430	1093	2257	380	1394	242
LOC131378967	protein_coding	990	644	579	698	1359	1329
LOC131371514	lncRNA	859	898	474	527	825	683
Gm5046	protein_coding	975	768	407	618	1477	1365
LOC131340191	protein_coding	990	1542	559	2633	1927	1189
Gm28604	protein_coding	2681	5033	1591	2214	2236	3338
Pde8b	protein_coding	1769	994	1056	883	1013	1205
LOC109279907	protein_coding	161	121	96	71	98	99
0610012D04Rik	protein_coding	469	1814	225	226	454	401
Gm32488	protein_coding	418	510	809	967	516	630
LOC132412554	protein_coding	1709	2446	2002	2402	2532	1117
DXMit129	protein_coding	608	603	183	158	428	232
Gm25354	protein_coding	1256	852	885	497	893	619
Gm7897	pseudogene	140	3	149	15	79	33
Gm22490	protein_coding	3115	4525	2112	4460	1683	1545
Or9k2	pseudogene	1983	655	438	206	623	732
Gm5442	protein_coding	1107	902	429	1985	638	1756
Gm38820	lncRNA	1063	105	38	11	743	1200
Cbarp	protein_coding	3322	1374	695	2886	4087	2128
TelXqYq3	protein_coding	340	898	571	347	575	790
LOC131387497	protein_coding	98	346	267	40	114	297
LOC131380046	lncRNA	1175	1847	1097	2135	1469	1257
Gm53451	lncRNA	2910	1977	1149	2129	1415	1244
Steep1	protein_coding	103	157	103	127	200	89
LOC132409037	protein_coding	8	0	0	21	2313	42
n-TAagc15	protein_coding	300	135	218	431	706	384
Atp11b	pseudogene	700	872	643	754	496	1496
LOC128926726	protein_coding	543	100	320	1067	633	726
Gm20379	pseudogene	2180	2154	1107	2887	1415	2853
Ear7	protein_coding	454	1020	417	124	190	97
LOC131372492	protein_coding	415	333	180	188	1050	524
Gm16470	protein_coding	1078	3626	1195	2117	4226	1036
C130076G22Rik	protein_coding	2781	2256	3711	3637	1294	3519
LOC131339130	protein_coding	5133	2138	2485	2004	3263	3091
Gm5564	protein_coding	1144	716	750	961	638	918
LOC128924785	lncRNA	882	1627	796	964	969	666
LOC131372040	protein_coding	305	2403	615	1089	1478	860
Gm8756	protein_coding	508	86	1266	6124	9850	600
Or5p62	protein_coding	473	369	405	341	326	418
LOC131392661	protein_coding	1308	1387	2254	3192	9109	5303
Gm10723	lncRNA	1267	1528	297	242	618	342
Capn6	protein_coding	2457	2072	2005	2556	1327	2628
Gm3047	lncRNA	365	227	386	149	153	189
LOC131386987	protein_coding	88	150	194	177	252	149
2310066N15Rik	protein_coding	426	400	1071	639	764	282
Thg1l	protein_coding	757	911	124	128	325	897
LOC128927654	protein_coding	2450	2163	1806	2482	949	1092
Mmadhc	protein_coding	277	156	539	385	367	241
4930527F18Rik	protein_coding	7164	1970	902	1257	1063	1223
LOC131377327	lncRNA	1867	415	554	618	950	331
LOC131339026	protein_coding	374	1991	410	663	352	777
LOC131296036	lncRNA	1091	1333	840	631	1274	558
Rab3a	protein_coding	555	950	615	303	816	865
LOC131376971	protein_coding	1717	1352	1750	880	740	2753
Gm35455	pseudogene	862	2082	730	1712	955	1135
Gm7513	protein_coding	381	228	663	268	639	1023
Gm10290	protein_coding	853	1605	637	636	858	328
Del(14)38H	protein_coding	508	235	461	1329	1006	712
Car4	pseudogene	611	480	785	1127	914	1566
LOC131341811	protein_coding	1178	2248	2742	68	503	188
Gm51693	protein_coding	1034	3171	579	2149	2856	1676
Gm31444	protein_coding	879	835	1326	1934	1942	2147
LOC131386097	protein_coding	667	295	604	491	655	530
LOC109280038	protein_coding	976	669	1359	431	274	647
LOC132411250	pseudogene	841	555	857	773	986	345
Lrrc74b	protein_coding	1049	879	801	1161	1111	1044
LOC132444299	protein_coding	565	963	551	1668	1881	1437
LOC132408671	pseudogene	584	373	1008	1938	388	141
LOC131375462	pseudogene	1069	946	572	351	876	1241
Gm36150	protein_coding	447	561	262	578	386	288
LOC132444867	protein_coding	1777	1701	1974	987	2103	1532
Vapb	pseudogene	1386	559	782	540	466	1866
Imp1	protein_coding	1306	2934	928	1470	2805	1353
Ccdc195	pseudogene	231	374	199	309	132	270
Gm31465	protein_coding	923	752	1803	678	1386	639
LOC131387559	protein_coding	84	126	344	144	518	299
LOC131295522	protein_coding	1035	773	447	672	753	533
Gm24838	lncRNA	735	258	2	999	2551	20
Gm7663	protein_coding	1300	906	2040	1663	915	241
n-TGtcc6	protein_coding	1543	1217	580	1391	963	997
Gm9335	protein_coding	804	847	735	1406	2117	1824
LOC128927860	lncRNA	761	895	915	1105	786	1834
LOC128924479	lncRNA	410	635	1365	1245	1043	873
LOC132410944	lncRNA	23	223	4562	114	267	430
Gm23058	protein_coding	1313	1139	1517	1338	1130	1654
LOC132444963	protein_coding	719	306	466	713	575	313
D4Bwg23e	protein_coding	3548	1940	1701	2086	2644	4261
LOC132412202	protein_coding	473	182	220	391	425	357
Gm41982	protein_coding	1142	978	986	265	175	191
Del(8A4-B3)7H	protein_coding	11	518	25	26	1	193
Jam2	protein_coding	698	532	1911	1986	2422	1410
Emv13	protein_coding	901	386	377	742	1209	480
AU022695	protein_coding	322	233	542	10	1604	234
Mir1839	pseudogene	649	391	347	490	407	720
Hspd1-ps3	lncRNA	854	2548	1016	505	1096	1326
LOC131390320	protein_coding	932	730	1654	382	614	1684
Gm34207	protein_coding	314	60	74	113	1442	3884
D4Mit225	protein_coding	846	1671	1302	798	583	821
Prdx2-ps1	protein_coding	60	116	161	73	127	49
LOC131390886	protein_coding	272	283	307	213	457	197
LOC131376887	protein_coding	2373	3524	3477	2465	2519	7152
LOC131296656	protein_coding	1963	997	1021	1667	1542	2304
Pde4c	protein_coding	509	780	1085	1027	817	1038
LOC131376403	lncRNA	817	1876	359	711	972	958
2310009B15Rik	protein_coding	1486	659	1355	1347	1327	976
Gm36420	protein_coding	763	393	764	260	791	488
Gm5384	protein_coding	1463	1553	2087	2147	976	992
Litchi	protein_coding	3014	1142	439	1287	612	825
LOC132440798	lncRNA	318	527	461	669	453	737
1700074G04Rik	protein_coding	5214	1858	43	139	2392	8
LOC110120425	protein_coding	940	1074	1016	4633	1253	1781
Ccl20	lncRNA	330	987	212	1520	579	690
LOC131374724	protein_coding	134	118	126	120	71	170
Gm38877	protein_coding	619	1537	981	4523	8584	5584
Gm18921	protein_coding	4404	155	600	1018	776	2486
1010001B22Rik	protein_coding	1162	1286	1887	897	1116	1840
LOC131391021	pseudogene	1155	1296	392	1240	967	815
LOC131388409	protein_coding	1022	1032	1466	1240	330	1029
LOC131384784	protein_coding	3507	1831	1339	3976	2810	940
Dnajc7	protein_coding	968	612	363	672	493	814
LOC131376577	protein_coding	1388	879	1640	837	210	929
Brinp1	protein_coding	4	333	84	130	639	1148
Gm26698	protein_coding	618	177	725	321	99	654
LOC131372076	protein_coding	266	524	354	540	433	476
Gm13490	protein_coding	370	328	134	290	13	469
Gm32843	protein_coding	740	2491	1308	2763	1682	197
Gm18914	protein_coding	2278	4472	630	3051	1773	1863
LOC128924696	lncRNA	2862	765	348	19	712	1898
LOC109280134	protein_coding	576	529	743	1258	686	548
LOC131377777	protein_coding	165	102	131	60	188	35
Mir466b-8	protein_coding	1110	2615	1580	2628	1980	273
Nppa	protein_coding	64	10	11	127	5	152
Tigd4	protein_coding	167	520	676	711	237	572
Gm7411	lncRNA	218	3130	1673	1613	391	2906
LOC131375361	protein_coding	1426	5255	2055	1651	1344	299
LOC131371911	protein_coding	305	153	107	8	27	44
Fam118a	pseudogene	338	1142	419	522	443	339
Cnrip1	protein_coding	485	803	1359	616	208	151
LOC132441788	protein_coding	236	220	778	354	651	224
n-TAagc2	protein_coding	2005	2593	3458	1819	981	255
Daq2	protein_coding	392	541	148	510	65	425
Exo5	protein_coding	541	1105	1734	545	507	1117
LOC132443575	protein_coding	1265	803	1817	1513	1022	1077
Tes	protein_coding	89	91	147	106	84	67
1190001L17Rik	protein_coding	621	1171	1098	772	637	867
LOC131392515	protein_coding	1070	196	484	797	324	1070
Gm11667	protein_coding	1034	1326	805	1271	1010	966
Chrna1os	protein_coding	501	901	840	1041	476	1244
Ctss	protein_coding	727	1827	1277	2797	1040	2842
D11Mit353	protein_coding	224	315	407	668	650	219
Gm13351	protein_coding	1115	1554	927	1413	1369	757
LOC109280025	protein_coding	337	426	315	406	474	322
C79242	protein_coding	325	474	2222	911	1106	999
LOC131387384	lncRNA	10	161	457	229	1054	225
LOC128925597	lncRNA	788	1268	1140	1295	164	244
LOC131385719	protein_coding	721	929	268	291	79	116
Rbmx2-ps	protein_coding	554	1317	919	2654	3410	6467
LOC132409255	protein_coding	557	374	87	869	193	231
Gm33712	lncRNA	1722	3306	792	1781	1243	1942
Iap5rc12	protein_coding	265	122	202	369	406	247
LOC131390267	protein_coding	512	3333	1439	275	7567	3392
LOC131341017	protein_coding	164	144	183	184	63	107
Gbrln	protein_coding	1900	1549	1146	2754	3150	2758
D17Jcs85	protein_coding	408	43	267	543	298	101
LOC131337164	pseudogene	210	227	773	636	395	371
LOC132410456	protein_coding	124	329	318	388	362	190
Rer1	protein_coding	1192	324	676	2043	806	1199
LOC131339273	protein_coding	22	12	12	115	21	49
Gm14424	protein_coding	1450	1179	2276	2080	2699	2633
Gm46789	protein_coding	1592	894	884	1546	4983	2497
Gm27521	protein_coding	106	3501	159	11	27	1319
